Version 1

CAS,Name,Cpd,Hits,HMP,KEGG,LMP,METLIN,Notes,Swiss-Prot,Mass (DB),"Diff (DB, mDa)","Diff (DB, ppm)",RT (Lib/DB),RT Diff (Lib/DB),Score (DB),Shared (DB),Unique (DB),"Diff (MFG, mDa)",Mass (MFG),"Diff (MFG, ppm)",Score (MFG),Tgt Hit Pos,Score Diff,Abund,Mining Algorithm,Area,Avg Mass,Base Peak,Z Count,CE,MS/MS Count,File,End,Formula,FV,Height,ID Source,ID Techniques Applied,Ions,Polarity,Label,Max Z,Min Z,Mass,Score,m/z,m/z (prod.),RT,Saturated,Start,Vol,Width,Flags,Lib/DB,Score (Lib),Cpds/Group,Group,Std Dev,Score (MFE),Vol %,EIC/TIC% Area,EIC/TIC% Height,TIC% Area,TIC% Height,TWC% Area,TWC% Height,Purity Comments,Purity Result,Purity Value,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,"Diff (Tgt, mDa)","Diff (Tgt, ppm)",RT (Tgt),RT Diff (Tgt),Score (Tgt),Flags (Tgt),Flag Severity (Tgt),Flag Severity Code (Tgt),Mass (Tgt),Sample Name,Sample Type,Instrument Name,Position,User Name,Acq Method,DA Method,IRM Calibration status
,Diethyl Phthalate,4,1,,,,,,,,,,,,,,,,,,,,,3574,Find by Formula,7557207,,701.4970,1,,,DPA_10ug_ml_new_diff_method_2_200303-0003.d,10.225,C12 H14 O4,,101827,FBF,FBF,6,Positive,Cpd 4: Diethyl Phthalate; C12 H14 O4; 7.846,1,1,222.0887,67.38,245.0768,,7.846,,6.432,,0.628,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-2.29,,,67.38,low score,Warning,2,222.0892,DPA 10ug/mL - new mix  - different method (2),Sample,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Nitrobenzene,5,1,,,,,,,,,,,,,,,,,,,,,34044,Find by Formula,67591,,122.0962,1,,,DPA_10ug_ml_new_diff_method_2_200303-0003.d,5.983,C6 H5 N O2,,20881,FBF,FBF,2,Positive,Cpd 5: Nitrobenzene; C6 H5 N O2; 5.927,1,1,123.0316,86.57,124.0389,,5.927,,5.871,,0.236,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,-3.39,,,86.57,,Pass,0,123.0320,DPA 10ug/mL - new mix  - different method (2),Sample,Instrument 1,P2-B3,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Ethyl Centralite,1,1,,,,,,,,,,,,,,,,,,,,,48845,Find by Formula,1092950,,498.4043,1,,,MeOH_Blank_diff_method_200303-0001.d,14.263,C17 H20 N2 O,,110427,FBF,FBF,2,Positive,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 13.973,1,1,268.1582,85.26,269.1654,,13.973,,13.872,,0.146,,,,,,,,,,,,,,,,,,,,,,,,,0.60,2.23,,,85.26,,Pass,0,268.1576,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,PETN,2,1,,,,,,,,,,,,,,,,,,,,,2054,Find by Formula,26192,,528.4124,1,,,MeOH_Blank_diff_method_200303-0001.d,12.200,C5 H8 N4 O12,,3549,FBF,FBF,3,Positive,Cpd 2: PETN; C5 H8 N4 O12; 12.031,1,1,316.0164,59.54,317.0237,,12.031,,11.987,,0.141,,,,,,,,,,,,,,,,,,,,,,,,,2.50,7.91,,,59.54,low score,Warning,2,316.0139,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,HMX,3,1,,,,,,,,,,,,,,,,,,,,,2216,Find by Formula,47758,,704.5179,1,,,MeOH_Blank_diff_method_200303-0001.d,11.594,C4 H8 N8 O8,,3697,FBF,FBF,3,Positive,Cpd 3: HMX; C4 H8 N8 O8; 11.380,1,1,296.0474,87.80,319.0362,,11.380,,11.223,,0.311,,,,,,,,,,,,,,,,,,,,,,,,,0.94,3.16,,,87.80,No H adduct,Warning,2,296.0465,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Diethyl Phthalate,4,1,,,,,,,,,,,,,,,,,,,,,19776,Find by Formula,7853687,,194.1155,1,,,MeOH_Blank_diff_method_200303-0001.d,8.070,C12 H14 O4,,42811,FBF,FBF,4,Positive,Cpd 4: Diethyl Phthalate; C12 H14 O4; 7.216,1,1,222.0887,85.23,223.0961,,7.216,,1.907,,4.754,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,-2.37,,,85.23,,Pass,0,222.0892,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Nitrobenzene,5,1,,,,,,,,,,,,,,,,,,,,,6365,Find by Formula,106264,,167.0794,1,,,MeOH_Blank_diff_method_200303-0001.d,1.372,C6 H5 N O2,,11541,FBF,FBF,3,Positive,Cpd 5: Nitrobenzene; C6 H5 N O2; 1.245,1,1,123.0313,84.70,124.0387,,1.245,,1.100,,0.221,,,,,,,,,,,,,,,,,,,,,,,,,-0.76,-6.15,,,84.70,,Pass,0,123.0320,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Ethyl Centralite,1,1,,,,,,,,,,,,,,,,,,,,,78390,Find by Formula,1334591,,711.2844,1,,,MeOH_Blank_diff_method_200303-0004.d,14.184,C17 H20 N2 O,,159290,FBF,FBF,2,Positive,Cpd 1: Ethyl Centralite; C17 H20 N2 O; 13.948,1,1,268.1580,85.90,269.1653,,13.948,,13.836,,0.123,,,,,,,,,,,,,,,,,,,,,,,,,0.46,1.71,,,85.90,,Pass,0,268.1576,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,PETN,2,1,,,,,,,,,,,,,,,,,,,,,1994,Find by Formula,19068,,701.4995,1,,,MeOH_Blank_diff_method_200303-0004.d,8.415,C5 H8 N4 O12,,2076,FBF,FBF,2,Positive,Cpd 2: PETN; C5 H8 N4 O12; 8.280,1,1,316.0142,69.27,339.0037,,8.280,,8.179,,0.506,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.98,,,69.27,low score; No H adduct,Warning,2,316.0139,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,HMX,3,1,,,,,,,,,,,,,,,,,,,,,1725,Find by Formula,72372,,435.1673,1,,,MeOH_Blank_diff_method_200303-0004.d,11.849,C4 H8 N8 O8,,3003,FBF,FBF,3,Positive,Cpd 3: HMX; C4 H8 N8 O8; 11.423,1,1,296.0456,91.31,319.0348,,11.423,,11.154,,10.321,,,,,,,,,,,,,,,,,,,,,,,,,-0.90,-3.05,,,91.31,No H adduct,Warning,2,296.0465,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Nitrobenzene,4,1,,,,,,,,,,,,,,,,,,,,,31342,Find by Formula,35678,,226.9514,1,,,MeOH_Blank_diff_method_200303-0004.d,5.699,C6 H5 N O2,,16969,FBF,FBF,3,Positive,Cpd 4: Nitrobenzene; C6 H5 N O2; 5.643,1,1,123.0316,86.74,124.0389,,5.643,,5.620,,0.468,,,,,,,,,,,,,,,,,,,,,,,,,-0.41,-3.37,,,86.74,,Pass,0,123.0320,MeOH Blank - different method,Sample,Instrument 1,P2-B1,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Diphenylamine,1,1,,,,,,,,,,,,,,,,,,,,,16940,Find by Formula,1614485,,226.9515,1,,,Unique_10ug_ml_diff_method_1_200303-0005.d,2.839,C12 H11 N,,15313,FBF,FBF,2,Positive,Cpd 1: Diphenylamine; C12 H11 N; 1.234,1,1,169.0893,64.35,170.0965,,1.234,,0.538,,2.477,,,,,,,,,,,,,,,,,,,,,,,,,0.19,1.13,,,64.35,low score,Warning,2,169.0891,Unique 10ug/mL - different method (1),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Ethyl Centralite,2,1,,,,,,,,,,,,,,,,,,,,,424286,Find by Formula,7331842,,702.2152,1,,,Unique_10ug_ml_diff_method_1_200303-0005.d,14.266,C17 H20 N2 O,,814873,FBF,FBF,3,Positive,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.962,1,1,268.1578,98.76,269.1651,,13.962,,13.828,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.76,,,98.76,,Pass,0,268.1576,Unique 10ug/mL - different method (1),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,HMX,3,1,,,,,,,,,,,,,,,,,,,,,1870,Find by Formula,66418,,122.0964,1,,,Unique_10ug_ml_diff_method_1_200303-0005.d,11.773,C4 H8 N8 O8,,3101,FBF,FBF,2,Positive,Cpd 3: HMX; C4 H8 N8 O8; 11.414,1,1,296.0459,78.69,319.0352,,11.414,,11.190,,8.300,,,,,,,,,,,,,,,,,,,,,,,,,-0.64,-2.15,,,78.69,No H adduct,Warning,2,296.0465,Unique 10ug/mL - different method (1),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Diethyl Phthalate,4,1,,,,,,,,,,,,,,,,,,,,,4889,Find by Formula,4385943,,701.4973,1,,,Unique_10ug_ml_diff_method_1_200303-0005.d,9.170,C12 H14 O4,,82844,FBF,FBF,6,Positive,Cpd 4: Diethyl Phthalate; C12 H14 O4; 7.856,1,1,222.0886,67.08,245.0766,,7.856,,6.880,,0.622,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,-2.78,,,67.08,low score,Warning,2,222.0892,Unique 10ug/mL - different method (1),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Nitrobenzene,5,1,,,,,,,,,,,,,,,,,,,,,31888,Find by Formula,101364,,226.9514,1,,,Unique_10ug_ml_diff_method_1_200303-0005.d,3.423,C6 H5 N O2,,28009,FBF,FBF,3,Positive,Cpd 5: Nitrobenzene; C6 H5 N O2; 3.344,1,1,123.0318,87.04,124.0390,,3.344,,3.277,,0.285,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,-2.24,,,87.04,,Pass,0,123.0320,Unique 10ug/mL - different method (1),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Diphenylamine,1,1,,,,,,,,,,,,,,,,,,,,,26412,Find by Formula,254789,,625.2467,1,,,Unique_10ug_ml_diff_method_2_200303-0006.d,13.731,C12 H11 N,,34759,FBF,FBF,3,Positive,Cpd 1: Diphenylamine; C12 H11 N; 13.624,1,1,169.0886,52.20,170.0962,,13.624,,13.498,,0.120,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,-3.23,,,52.20,low score,Warning,2,169.0891,Unique 10ug/mL - different method (2),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Ethyl Centralite,2,1,,,,,,,,,,,,,,,,,,,,,491762,Find by Formula,8495836,,711.2835,1,,,Unique_10ug_ml_diff_method_2_200303-0006.d,14.263,C17 H20 N2 O,,935477,FBF,FBF,3,Positive,Cpd 2: Ethyl Centralite; C17 H20 N2 O; 13.961,1,1,268.1577,98.90,269.1650,,13.961,,13.828,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.36,,,98.90,,Pass,0,268.1576,Unique 10ug/mL - different method (2),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,HMX,3,1,,,,,,,,,,,,,,,,,,,,,1947,Find by Formula,85088,,122.0963,1,,,Unique_10ug_ml_diff_method_2_200303-0006.d,11.906,C4 H8 N8 O8,,4329,FBF,FBF,2,Positive,Cpd 3: HMX; C4 H8 N8 O8; 11.413,1,1,296.0463,76.17,319.0358,,11.413,,11.177,,6.572,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,-0.83,,,76.17,No H adduct,Warning,2,296.0465,Unique 10ug/mL - different method (2),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Diethyl Phthalate,4,1,,,,,,,,,,,,,,,,,,,,,3514,Find by Formula,6964192,,701.4968,1,,,Unique_10ug_ml_diff_method_2_200303-0006.d,10.414,C12 H14 O4,,94554,FBF,FBF,6,Positive,Cpd 4: Diethyl Phthalate; C12 H14 O4; 7.866,1,1,222.0886,66.37,245.0767,,7.866,,6.530,,0.656,,,,,,,,,,,,,,,,,,,,,,,,,-0.56,-2.53,,,66.37,low score,Warning,2,222.0892,Unique 10ug/mL - different method (2),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
,Nitrobenzene,5,1,,,,,,,,,,,,,,,,,,,,,29006,Find by Formula,18346,,226.9515,1,,,Unique_10ug_ml_diff_method_2_200303-0006.d,1.491,C6 H5 N O2,,21634,FBF,FBF,3,Positive,Cpd 5: Nitrobenzene; C6 H5 N O2; 1.468,1,1,123.0318,87.47,124.0391,,1.468,,1.457,,0.771,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,-1.70,,,87.47,,Pass,0,123.0320,Unique 10ug/mL - different method (2),Sample,Instrument 1,P2-B2,Dominic Davis-Foster,Based on Cannabinoids in Urine.m,QualMethod.m,Success,
